code;city;school_name;type;nature;specialization;num_vacant;num_potential;address;latitude;longitude;school_type
1664;Toulouse;Ecole Elementaire Publique Calvinhac(0312226b);E;Enseignant classeélémentaire;Sans spécialité;0;4;8 bis rue Jacques Labatut 31000 TOULOUSE, 31000 Toulouse;43.597759252767545;1.4548700464233564;Ecole
1665;Toulouse;Ecole Elementaire Publique Buffon (0312227c);E;Enseignant classeélémentaire;Sans spécialité;0;15;6 impasse des Glières 31100 TOULOUSE, 31100 Toulouse;43.564719924499784;1.4118697154839732;Ecole
1666;Toulouse;Ecole Elementaire Publique Etienne Billieres(0312272b);E;Enseignant classeélémentaire;Sans spécialité;1;10;56 rue Jacques Gamelin 31100 TOULOUSE, 31100 Toulouse;43.58795968340923;1.42162032011623;Ecole
1667;Toulouse;Ecole Elementaire Publique Jules Julien(0312273c);E;Enseignant classeélémentaire;Sans spécialité;0;12;11 avenue des écoles Jules Julien 31400 TOULOUSE, 31400 Toulouse;43.57402341440476;1.45377730861442;Ecole
1668;Toulouse;Ecole Elementaire Publique Michoun (0312276f) E;E;Enseignant classeélémentaire;Sans spécialité;1;11;49 chemin Michoun 31500 TOULOUSE, 31500 Toulouse;43.62678867341459;1.467770471575621;Ecole
1669;Toulouse;Ecole Elementaire Publique Lakanal (0312292y) E;E;Enseignant classeélémentaire;Sans spécialité;0;7;17 place de la Daurade 31000 TOULOUSE, 31000 Toulouse;43.60255367485231;1.439100045120136;Ecole
1670;Toulouse;Ecole Elementaire Publique Lardenne(0312293z);E;Enseignant classeélémentaire;Sans spécialité;1;7;20 chemin Rocamadour 31100 TOULOUSE, 31100 Toulouse;43.588724401948205;1.37810950987054;Ecole
1671;Toulouse;Ecole Elementaire Publique Jean Jaures(0312294a);E;Enseignant classeélémentaire;Sans spécialité;0;10;21 avenue Frizac 31400 TOULOUSE, 31400 Toulouse;43.588780146001376;1.45136038181894;Ecole
1672;Toulouse;Ecole Elementaire Publique Gaston Dupouy(0312320d);E;Enseignant classeélémentaire;Sans spécialité;0;4;8 rue du Professeur Gaston Dupouy 31100 TOULOUSE, 31100 Toulouse;43.58097489955699;1.3808180107519679;Ecole
1673;Toulouse;Ecole Elementaire Publique Simone Veil(0312323g);E;Enseignant classeélémentaire;Sans spécialité;0;10;5 chemin Cambert 31100 TOULOUSE, 31100 Toulouse;43.56840659270936;1.4031956422090626;Ecole
